  JENDL-4.0 NFY Fm255                                                0         0
 2.807300+4 0.000000+0 6.756970-8 4.324470-8 2.807400+4 0.000000+09936 8454   41
 1.061670-8 6.794680-9 2.807500+4 0.000000+0 9.31689-10 5.96280-109936 8454   42
 2.807600+4 0.000000+0 5.73499-11 3.67040-11 2.807700+4 0.000000+09936 8454   43
 2.11337-12 1.35255-12 2.807800+4 0.000000+0 4.98091-14 3.18779-149936 8454   44
 2.807900+4 0.000000+0 1.19764-15 7.66486-16 2.808000+4 0.000000+09936 8454   45
 0.000000+0 0.000000+0 2.808100+4 0.000000+0 0.000000+0 0.000000+09936 8454   46
 2.808200+4 0.000000+0 0.000000+0 0.000000+0 2.906600+4 0.000000+09936 8454   47
 1.121200-8 7.175680-9 2.906700+4 0.000000+0 8.096470-8 5.181740-89936 8454   48
 2.906800+4 0.000000+0 1.079890-7 6.911280-8 2.906800+4 1.000000+09936 8454   49
 2.531770-7 1.620330-7 2.906900+4 0.000000+0 1.131120-6 7.239200-79936 8454   50
 2.907000+4 0.000000+0 6.159230-7 3.941910-7 2.907000+4 1.000000+09936 8454   51
 1.857660-6 1.188900-6 2.907100+4 0.000000+0 3.661270-6 2.343210-69936 8454   52
 2.907200+4 0.000000+0 3.681120-6 2.355910-6 2.907300+4 0.000000+09936 8454   53
 2.500380-6 1.600240-6 2.907400+4 0.000000+0 1.230340-6 7.874210-79936 8454   54
 2.907500+4 0.000000+0 3.512440-7 2.247950-7 2.907600+4 0.000000+09936 8454   55
 7.233240-8 4.629270-8 2.907700+4 0.000000+0 9.108520-9 5.829450-99936 8454   56
 2.907800+4 0.000000+0 7.41184-10 4.74357-10 2.907900+4 0.000000+09936 8454   57
 3.54209-11 2.26694-11 2.908000+4 0.000000+0 1.14104-12 7.30270-139936 8454   58
 2.908100+4 0.000000+0 2.41108-14 1.54309-14 2.908200+4 0.000000+09936 8454   59
 0.000000+0 0.000000+0 2.908300+4 0.000000+0 0.000000+0 0.000000+09936 8454   60
 2.908400+4 0.000000+0 0.000000+0 0.000000+0 3.006600+4 0.000000+09936 8454   61
 1.37917-11 8.82673-12 3.006700+4 0.000000+0 3.31400-10 2.12095-109936 8454   62
 3.006800+4 0.000000+0 4.752700-9 3.041730-9 3.006900+4 0.000000+09936 8454   63
 8.589990-9 5.497590-9 3.006900+4 1.000000+0 3.710150-8 2.374490-89936 8454   64
 3.007000+4 0.000000+0 2.927030-7 1.873300-7 3.007100+4 0.000000+09936 8454   65
 2.258950-7 1.445730-7 3.007100+4 1.000000+0 9.756750-7 6.244320-79936 8454   66
 3.007200+4 0.000000+0 3.224700-6 2.063800-6 3.007300+4 0.000000+09936 8454   67
 5.854060-6 3.746600-6 3.007400+4 0.000000+0 7.878180-6 5.042030-69936 8454   68
 3.007500+4 0.000000+0 6.479150-6 4.146660-6 3.007600+4 0.000000+09936 8454   69
 4.058160-6 2.597220-6 3.007700+4 0.000000+0 1.627230-6 1.041430-69936 8454   70
 3.007800+4 0.000000+0 4.345900-7 2.781380-7 3.007900+4 0.000000+09936 8454   71
 6.995100-8 4.476870-8 3.008000+4 0.000000+0 7.769040-9 4.972180-99936 8454   72
 3.008100+4 0.000000+0 5.49686-10 3.51800-10 3.008200+4 0.000000+09936 8454   73
 2.10349-11 1.34623-11 3.008300+4 0.000000+0 5.38772-13 3.44814-139936 8454   74
 3.008400+4 0.000000+0 0.000000+0 0.000000+0 3.008500+4 0.000000+09936 8454   75
 3.38826-16 2.16849-16 3.008600+4 0.000000+0 0.000000+0 0.000000+09936 8454   76
 3.106700+4 0.000000+0 5.54647-14 3.54975-14 3.106800+4 0.000000+09936 8454   77
 2.72859-12 1.74629-12 3.106900+4 0.000000+0 8.81086-11 5.63895-119936 8454   78
 3.107000+4 0.000000+0 1.845510-9 1.181130-9 3.107100+4 0.000000+09936 8454   79
 2.411080-8 1.543090-8 3.107200+4 0.000000+0 1.954660-7 8.845780-89936 8454   80
 3.107300+4 0.000000+0 1.012060-6 6.477170-7 3.107400+4 0.000000+09936 8454   81
 3.344990-6 2.140800-6 3.107400+4 1.000000+0 3.758000-7 2.405120-79936 8454   82
 3.107500+4 0.000000+0 8.156000-6 5.219840-6 3.107600+4 0.000000+09936 8454   83
 1.369250-5 8.763230-6 3.107700+4 0.000000+0 1.527010-5 9.772910-69936 8454   84
 3.107800+4 0.000000+0 1.200580-5 7.683710-6 3.107900+4 0.000000+09936 8454   85
 5.973120-6 3.822800-6 3.108000+4 0.000000+0 2.143180-6 1.371630-69936 8454   86
 3.108100+4 0.000000+0 4.871770-7 3.117940-7 3.108200+4 0.000000+09936 8454   87
 6.528760-8 4.178410-8 3.108300+4 0.000000+0 5.784600-9 3.702150-99936 8454   88
 3.108400+4 0.000000+0 2.78812-10 1.78439-10 3.108500+4 0.000000+09936 8454   89
 1.00210-11 6.41345-12 3.108600+4 0.000000+0 1.76614-13 1.13033-139936 8454   90
