  JENDL-4.0 NFY Cf249                                                0         0
 9.824900+4 2.469350+2         -1          0          6          19852 1451    1
 0.000000+0 1.000000+0          0          0          0          69852 1451    2
 1.000000+0 2.000000+7          0          0         11          49852 1451    3
 0.000000+0 0.000000+0          0          0         20          39852 1451    4
 98-CF-249 JAEA       EVAL-FEB10 J. KATAKURA                      9852 1451    5
                      DIST-MAY10                       20100222   9852 1451    6
----JENDL-4           MATERIAL 9852                               9852 1451    7
-----NEUTRON-INDUCED FISSION PRODUCT YIELDS                       9852 1451    8
------ENDF-6 FORMAT                                               9852 1451    9
                                                                  9852 1451   10
 ORIGINAL DATA TAKEN FROM ENDF/B-VII FILE.                        9852 1451   11
 ADJUSTED INDEPENDENT AND CUMULATIVE YIELD LIBRARIES              9852 1451   12
 BASED ON THE DATA IN JENDL FP DECAY DATA FILE 2000.              9852 1451   13
 TERNARY FISSION YIELDS ARE ADDED.                                9852 1451   14
 CONVERTED BY J. KATAKURA                                         9852 1451   15
                                                                  9852 1451   16
 REFERENCES:                                                      9852 1451   17
 1. T.R. ENGLAND AND B.F. RIDER, "EVALUATION AND                  9852 1451   18
    COMPILATION OF FISSION-PRODUCT YIELDS", 1992, ENDF-349        9852 1451   19
 2. R.W. MILLS, "FISSION PRODUCT YIELD EVALUATION", THESIS,       9852 1451   20
    THE UNIVERSITY OF BIRMINGHAM, UK. (1995)                      9852 1451   21
 3. J. KATAKURA ET AL., "JENDL FP DECAY DATA FILE 2000",          9852 1451   22
    JAERI 1343 (2001)                                             9852 1451   23
                                                                  9852 1451   24
                                1        451         27          09852 1451   25
                                8        454        830          09852 1451   26
                                8        459        830          09852 1451   27
                                                                  9852 1  099999
                                                                  9852 0  0    0
 9.824900+4 2.469350+2          1          0          0          09852 8454    1
 2.530000-2 0.000000+0          0          0       4964       12419852 8454    2
 1.001000+3 0.000000+0 4.513140-5 7.221020-6 1.002000+3 0.000000+09852 8454    3
 1.379250-5 1.972330-6 1.003000+3 0.000000+0 1.967760-4 1.574210-59852 8454    4
 2.003000+3 0.000000+0 0.000000+0 0.000000+0 2.004000+3 0.000000+09852 8454    5
 3.499910-3 2.239940-4 2.006000+3 0.000000+0 4.887490-5 7.233480-69852 8454    6
 2.008000+3 0.000000+0 9.136760-7 2.265920-7 3.006000+3 0.000000+09852 8454    7
 0.000000+0 0.000000+0 3.007000+3 0.000000+0 2.161590-6 4.085410-79852 8454    8
 3.009000+3 0.000000+0 1.538410-6 3.584490-7 4.009000+3 0.000000+09852 8454    9
 0.000000+0 0.000000+0 4.010000+3 0.000000+0 1.300000-5 2.171000-69852 8454   10
 2.306600+4 0.000000+0 0.000000+0 0.000000+0 2.406600+4 0.000000+09852 8454   11
 1.43170-15 1.14536-15 2.406700+4 0.000000+0 1.49434-16 1.19547-169852 8454   12
 2.406800+4 0.000000+0 0.000000+0 0.000000+0 2.406900+4 0.000000+09852 8454   13
 0.000000+0 0.000000+0 2.407000+4 0.000000+0 0.000000+0 0.000000+09852 8454   14
 2.506600+4 0.000000+0 1.04066-12 6.66023-13 2.506700+4 0.000000+09852 8454   15
 2.47157-13 1.58180-13 2.506800+4 0.000000+0 9.62612-14 6.16072-149852 8454   16
 2.506900+4 0.000000+0 1.41089-14 9.02974-15 2.507000+4 0.000000+09852 8454   17
 0.000000+0 0.000000+0 2.507100+4 0.000000+0 0.000000+0 0.000000+09852 8454   18
 2.507200+4 0.000000+0 0.000000+0 0.000000+0 2.507300+4 0.000000+09852 8454   19
 0.000000+0 0.000000+0 2.606600+4 0.000000+0 1.23078-10 7.87700-119852 8454   20
 2.606700+4 0.000000+0 4.54288-11 2.90745-11 2.606800+4 0.000000+09852 8454   21
 5.88374-11 3.76559-11 2.606900+4 0.000000+0 1.36086-11 8.70953-129852 8454   22
 2.607000+4 0.000000+0 9.56608-12 6.12229-12 2.607100+4 0.000000+09852 8454   23
 1.10069-12 7.04447-13 2.607200+4 0.000000+0 1.41089-13 9.02974-149852 8454   24
 2.607300+4 0.000000+0 1.03066-14 6.59619-15 2.607400+4 0.000000+09852 8454   25
 0.000000+0 0.000000+0 2.607500+4 0.000000+0 0.000000+0 0.000000+09852 8454   26
 2.607600+4 0.000000+0 0.000000+0 0.000000+0 2.706600+4 0.000000+09852 8454   27
 9.28590-10 5.94298-10 2.706700+4 0.000000+0 1.050660-9 6.72428-109852 8454   28
